ticker,date,alpha_annual,beta_mkt,r2,regime
MSFT,2023-05-25,-0.150796714806771,0.0092539757928383,0.0111515357921715,range_bound
MSFT,2023-05-26,-0.1508437486533583,0.0095924740515262,0.0119826294487309,range_bound
MSFT,2023-05-30,-0.1505968708071893,0.0097422670616778,0.0124601029148379,range_bound
MSFT,2023-05-31,-0.1502793228620558,0.0093618943162409,0.011067669414487,range_bound
MSFT,2023-06-01,-0.1503133301319329,0.0094318509207293,0.0112157266065715,range_bound
MSFT,2023-06-02,-0.1504178174898235,0.0097990186706367,0.0121536051357846,range_bound
MSFT,2023-06-05,-0.1512643592320182,0.0114309396921468,0.015982080034037,range_bound
MSFT,2023-06-06,-0.1513894444095676,0.0117672784963005,0.0167844607443544,range_bound
MSFT,2023-06-07,-0.1512517516829546,0.0115770368449865,0.0161528748770202,range_bound
MSFT,2023-06-08,-0.1513912601330672,0.0118075591076115,0.0167166532946124,trending_up
MSFT,2023-06-09,-0.151870208316061,0.0116223866893316,0.0161822371993142,trending_up
MSFT,2023-06-12,-0.152154721146982,0.0119890532502996,0.0171312537872343,trending_up
MSFT,2023-06-13,-0.1522589345937952,0.0123061487504448,0.0181082892121404,trending_up
MSFT,2023-06-14,-0.1524045962459511,0.0123274753690545,0.0182053515033197,trending_up
MSFT,2023-06-15,-0.1527340531453567,0.0125073862340458,0.018725888984479,trending_up
MSFT,2023-06-22,-0.1527670726318808,0.012463684186053,0.0185642364398243,trending_up
MSFT,2023-06-23,-0.1554299207181856,0.012057261390516,0.0171373283141847,trending_up
MSFT,2023-06-26,-0.1549853705409357,0.0117256904729179,0.0162793943002456,trending_up
MSFT,2023-06-27,-0.1553388447131823,0.012377911972985,0.0177797654339305,trending_up
MSFT,2023-06-28,-0.1560231574052399,0.0125538948656502,0.0184456603978508,trending_up
MSFT,2023-06-29,-0.1534339139756593,0.0160792402213229,0.0282711787811336,trending_up
MSFT,2023-06-30,-0.1522859419877303,0.0160272554990834,0.0281946866631478,trending_up
MSFT,2023-07-03,-0.1508487564754053,0.0161436253078032,0.0289445530512559,trending_up
MSFT,2023-07-05,-0.1515888478441615,0.017322523351465,0.0323219099237929,trending_up
MSFT,2023-07-06,-0.1520604705048902,0.0180968542699209,0.0345524715321016,trending_up
MSFT,2023-07-07,-0.1467568938808924,0.0170421676444866,0.0326172997235931,trending_up
MSFT,2023-07-10,-0.1470757454476757,0.0168682696134168,0.0319118915641325,trending_up
MSFT,2023-07-11,-0.1474179917891784,0.0172991605407725,0.0333479180472506,trending_up
MSFT,2023-07-17,-0.1473159606271233,0.0172041442004666,0.0325715693741335,trending_up
MSFT,2023-07-18,-0.146881784675818,0.0172190910539408,0.0324859092533725,trending_up
MSFT,2023-07-19,-0.147493001268782,0.0177100230816256,0.0343286828572509,trending_up
MSFT,2023-07-20,-0.1507664628857246,0.0143438946325961,0.0192224190236349,trending_up
MSFT,2023-07-21,-0.147227827268724,0.0123133151488193,0.0143102211207672,trending_up
MSFT,2023-07-24,-0.1479893279673811,0.0127951325748027,0.0153285602903752,trending_up
MSFT,2023-07-25,-0.1479438411180649,0.0129051131728631,0.0155976608165889,trending_up
MSFT,2023-07-26,-0.1476230009684237,0.0126406831871711,0.014705568460189,trending_up
MSFT,2023-07-27,-0.1464191739419762,0.012214265972201,0.0134029125622548,trending_up
MSFT,2023-07-28,-0.1470773468735453,0.0121914325926037,0.0134243601668341,trending_up
MSFT,2023-07-31,-0.1476458931662345,0.0126051127846471,0.0144159975972956,trending_up
MSFT,2023-08-01,-0.148025005805515,0.013320587304328,0.0157729740857917,trending_up
MSFT,2023-08-02,-0.1473336865508602,0.012883161953113,0.0143727246165792,trending_up
MSFT,2023-08-03,-0.1466735609926611,0.0120824024018171,0.0129220442959595,trending_up
MSFT,2023-08-04,-0.1404017086296531,0.0101970336843295,0.0100230720608454,trending_up
MSFT,2023-08-07,-0.1399171952347406,0.0098305445746258,0.0093044315106217,trending_up
MSFT,2023-08-08,-0.1333603951503509,0.0061829655075324,0.003998120301774,trending_up
MSFT,2023-08-09,-0.1291947540114282,0.0128079338708412,0.0178812648504478,trending_up
MSFT,2023-08-14,-0.1301677079379516,0.013031260870534,0.0186353114414541,trending_up
MSFT,2023-08-15,-0.1301327782706778,0.0129975635729318,0.0185094189995963,trending_up
MSFT,2023-08-16,-0.1294191799868919,0.0122588318806747,0.0165157879436181,trending_up
MSFT,2023-08-17,-0.1272080262842713,0.0123963739202578,0.0172101769970726,trending_up
MSFT,2023-08-18,-0.1281448836430549,0.0126435323928429,0.0180352875858222,trending_up
MSFT,2023-08-21,-0.128652893203135,0.0134898513929053,0.0199208783715877,trending_up
MSFT,2023-08-22,-0.1287799398487226,0.0138654344302613,0.0209360648826307,trending_up
MSFT,2023-08-23,-0.1279432740017644,0.0140493046436791,0.0207780144823576,trending_up
MSFT,2023-08-24,-0.1279547481358911,0.0140225183659612,0.0206590879932007,trending_up
MSFT,2023-08-25,-0.1276854979209444,0.0133780805291269,0.0192707004075624,trending_up
MSFT,2023-08-28,-0.1280090661922927,0.0135030336578115,0.0197266933437543,trending_up
MSFT,2023-08-29,-0.1268821149344212,0.0141659357135574,0.0215364210038166,trending_up
MSFT,2023-08-30,-0.1269556969558016,0.0143105197009095,0.0224060632146745,trending_up
MSFT,2023-08-31,-0.1275284209071596,0.0151345320602408,0.024582591835654,trending_up
MSFT,2023-09-01,-0.1267839846562644,0.0152808229397684,0.0245359120024498,trending_up
MSFT,2023-09-05,-0.1263687445261775,0.0152465040660563,0.0241513210181383,trending_up
MSFT,2023-09-06,-0.1246626028074933,0.0143356120536272,0.0211845728994632,trending_up
MSFT,2023-09-07,-0.1247537448077621,0.0143515684664857,0.0212623715521333,range_bound
MSFT,2023-09-08,-0.1242389579432184,0.0140707282543908,0.0201151601014136,range_bound
MSFT,2023-09-18,-0.1240857005808563,0.0143494889992871,0.0205554970939119,range_bound
MSFT,2023-09-19,-0.1242322162118764,0.0147481080428062,0.0214613734876326,range_bound
MSFT,2023-09-20,-0.1239130916313557,0.0145938518750881,0.021020675361137,range_bound
MSFT,2023-09-21,-0.1234840762777919,0.0139884028754561,0.0192836712543649,range_bound
MSFT,2023-09-22,-0.1232937859537387,0.0134088705395543,0.0183648824005027,range_bound
MSFT,2023-09-25,-0.1231227130492433,0.013214344657832,0.0178369554412737,range_bound
MSFT,2023-09-26,-0.1236585214862565,0.0141858680352071,0.0200833650856722,range_bound
MSFT,2023-09-27,-0.123162602068677,0.0133538720295997,0.0182734573461614,range_bound
MSFT,2023-09-28,-0.1291402056302024,0.0144077905085059,0.0182604675229505,range_bound
MSFT,2023-09-29,-0.1293440302145809,0.0146559964940352,0.0189399045581795,range_bound
MSFT,2023-10-02,-0.1289870207869802,0.0144017610980759,0.0182589725212689,range_bound
MSFT,2023-10-05,-0.1282826919256747,0.0142584700920354,0.01760020234054,range_bound
MSFT,2023-10-06,-0.1303632054791189,0.0143053904304548,0.0175670074059549,range_bound
MSFT,2023-10-09,-0.130846048712519,0.0147510133465549,0.0189106149538555,range_bound
MSFT,2023-10-10,-0.1300503467795423,0.0147906529062061,0.0190192078853165,range_bound
MSFT,2023-10-11,-0.129982153716203,0.0147533392213975,0.0188582707077913,range_bound
MSFT,2023-10-12,-0.1295433507244291,0.0148454890647511,0.0185726760347348,range_bound
MSFT,2023-10-13,-0.1300630021954656,0.0148263554160043,0.018661407746593,range_bound
MSFT,2023-10-16,-0.1226404450362727,0.0078269744689078,0.0057579195575434,range_bound
MSFT,2023-10-17,-0.1228164109935601,0.0080750000297006,0.0062007707595023,range_bound
MSFT,2023-10-18,-0.123598069816028,0.0092615551281975,0.0077624517648592,range_bound
MSFT,2023-10-19,-0.1239707017049812,0.0096416865934557,0.0083794418104146,range_bound
MSFT,2023-10-20,-0.123812997862459,0.0092803227427337,0.0078619330628822,range_bound
MSFT,2023-10-23,-0.1229966060522214,0.0084375510400824,0.0064390923629946,range_bound
