ticker,signal,model,alpha_annual,alpha_daily,t_stat,p_value,significant,r2,adj_r2,ic,ir,n_obs,low_sample_size,beta_MKT,beta_SMB,beta_HML,beta_MOM
GOOGL,signal_adaptive,CAPM,-0.064951,-0.00026646,-0.6779,0.497809,False,0.0361,0.0334,0.19,-0.4577,361,False,-0.1608,,,
GOOGL,signal_adaptive,FF3,-0.051209,-0.00020858,-0.5282,0.597382,False,0.0451,0.037,0.2123,-0.3625,361,False,-0.1299,0.0272,0.1097,
GOOGL,signal_adaptive,Carhart4,-0.061871,-0.00025341,-0.6673,0.504555,False,0.0511,0.0405,0.2261,-0.4394,361,False,-0.1422,0.0421,0.1113,-0.1217
MSFT,signal_rsi,CAPM,0.27739,0.00097198,0.5555,0.578581,False,0.0033,-0.0012,0.0571,0.7281,225,False,-0.1496,,,
MSFT,signal_rsi,FF3,0.552525,0.00174709,1.1132,0.265608,False,0.1345,0.1228,0.3668,1.5564,225,False,-0.0469,0.3664,0.955,
MSFT,signal_rsi,Carhart4,0.612997,0.001899,1.2104,0.22613,False,0.1649,0.1497,0.4061,1.7579,225,False,0.0337,0.2904,0.8752,0.7462
MSFT,signal_macd,CAPM,-0.311027,-0.00147729,-2.1116,0.034722,True,0.0072,0.0054,0.0851,-1.3504,534,False,-0.1041,,,
MSFT,signal_macd,FF3,-0.311907,-0.00148236,-2.1089,0.034957,True,0.0074,0.0017,0.0857,-1.3543,534,False,-0.1032,-0.0205,-0.0041,
MSFT,signal_macd,Carhart4,-0.310346,-0.00147338,-2.0805,0.037484,True,0.0077,0.0002,0.0878,-1.3477,534,False,-0.0988,-0.0275,-0.0027,0.0471
MSFT,signal_zscore,CAPM,0.151151,0.00055874,0.4682,0.639647,False,0.0036,-0.001,0.0602,0.5001,217,False,0.1074,,,
MSFT,signal_zscore,FF3,0.241454,0.00085863,0.7085,0.478649,False,0.0832,0.0703,0.2884,0.8329,217,False,0.2059,0.4321,0.41,
MSFT,signal_zscore,Carhart4,0.267475,0.00094103,0.8001,0.423648,False,0.0933,0.0762,0.3055,0.9278,217,False,0.2243,0.4144,0.4172,0.3064
