datetime,open,high,low,close,volume,returns,returns_norm,returns_fwd_1,returns_fwd_5,vol_5d,vol_5d_annual,vol_21d,vol_21d_annual,vol_63d,vol_63d_annual,rsi_14,tr,atr_14,vol_ratio_20,vwap_20d,vwap_dev,bb_middle,bb_upper,bb_lower,bb_width,bb_pct,ema_12,ema_26,macd_line,macd_signal,macd_histogram,z_price_20d,z_price_60d,signal_rsi,signal_rsi_strength,signal_macd,signal_macd_strength,signal_zscore,signal_zscore_strength,signal_bb,signal_bb_strength,position_scale,signal_ensemble,signal_rsi_vol_trend_gated,signal_zscore_vol_bb_gated,signal_macd_trend_gated,signal_bb_breakout_gated,regime_label,signal_mr_pool,signal_trend_pool,signal_regime_adaptive
2021-12-06 05:00:00+00:00,160.61596032861834,164.12568814988214,160.60618932990224,161.62294006347656,107497000.0,0.02127459965752359,1.363913967977499,-0.03423309163602706,-0.07874067933575113,0.012522841746847705,0.19879394981986023,0.01426932783453371,0.2265185569573681,0.029204274673361,0.46360348803441176,74.58541699827265,5.904893472147762,4.486785887908479,0.9884680717281874,157.5531273541376,0.025180910010302857,157.13853912353517,163.184427778807,151.09265046826334,0.07694978824410251,0.8708636724587326,157.91401248967878,152.34342102515325,5.570591464525535,6.4530774622793015,-0.8824859977537667,1.483454689834929,1.4227943629815145,-1,0.15284723327575497,-1,0.26592958446903486,0,0.0,0,0.0,0.16666666666666674,-1,0,0,-1,0,trending,0,-1,-1
2021-12-07 05:00:00+00:00,165.2988844701773,167.7429772469704,164.57542763792551,167.35191345214844,120405400.0,0.0348327695755769,2.254988199121669,-0.022275561736401772,-0.046085227516358684,0.01879020091225471,0.2982851921925898,0.01572027158279571,0.24955157490283905,0.029436437397366996,0.4672889570229269,80.30112183658831,6.120037183493849,4.603446694736006,1.0913103956339392,158.38947082287868,0.05355446761493064,158.00326080322264,164.69720777744857,151.30931382899672,0.08473175730926932,1.1982915076054106,159.36599725313565,153.45516120493068,5.91083604820497,6.344629179464436,-0.43379313125946517,2.7931660304216366,1.6588606001049762,-1,0.3433707278862769,-1,0.1307198385413234,0,0.0,0,0.0,0.16666666666666674,-1,0,0,-1,0,trending,0,-1,-1
2021-12-08 05:00:00+00:00,168.2806769394803,172.02502878126478,166.88264814477856,171.16470336914062,116998900.0,0.022527409115926267,1.4134703158419883,0.0029790420928508254,-0.0037555054576767777,0.015303013716008236,0.24292781161420923,0.015979644393411475,0.2536689906252861,0.029504349535890442,0.46836702880014053,83.035608700943,5.142380636486223,4.641941976289593,1.0705402042408614,159.32866219324518,0.06915001132195676,158.84451751708986,167.5319443086919,150.15709072548782,0.10938277162341933,1.2090814200564228,161.1811828094441,154.7669791430203,6.414203666423788,6.358544076856306,0.055659589567481405,2.836325680225693,1.777877086105143,-1,0.4345202900314334,1,0.016772539805812666,0,0.0,0,0.0,0.16666666666666674,0,0,0,1,0,trending,0,1,1
2021-12-09 05:00:00+00:00,170.9984899495763,172.7973384356804,170.03062395661757,170.65631103515625,108923700.0,-0.0029746135400055694,-0.29860582859075435,-0.027249986236062895,0.001319319325771895,0.01610412063957695,0.2556449897742183,0.015277456305977252,0.24252210030762789,0.029516377029554154,0.46855795934291805,81.41279812629574,2.766714479062813,4.507997155059109,1.0004886998998213,160.02295072610184,0.06230862629430606,159.52935180664062,169.63484549110734,149.4238581221739,0.1266913401204714,1.0505401109506909,162.63889484416904,155.94396669058594,6.694928153583106,6.425820892201667,0.26910726138143914,2.2021604438027618,1.6781587499097392,-1,0.380426604209858,1,0.08109316451356761,0,0.0,0,0.0,0.18253968253968256,0,0,0,1,0,trending,0,1,1
2021-12-10 05:00:00+00:00,171.29179439045112,175.61294836881706,170.78341894665584,175.4369659423828,115402700.0,0.027628152967962994,1.738654390513804,0.0,0.000836624788711049,0.014246775360262687,0.22616054752714626,0.015873086522779994,0.2519774368697211,0.029632514628997544,0.4704015865788655,84.48369273457172,4.956637333660808,4.540042882102088,1.0609269471438152,161.00578562732562,0.08225849231681705,160.45321884155274,172.71744022610304,148.18899745700244,0.1528697457501453,1.1108723346965044,164.60782885927887,157.38789256108942,7.219936298189452,6.584643973399225,0.6352923247902273,2.443489338786019,1.8346410496999672,-1,0.4827897578190573,1,0.1914398918258771,0,0.0,0,0.0,0.17460317460317465,0,0,0,1,0,trending,0,1,1
2021-12-11 05:00:00+00:00,171.29179439045112,175.61294836881706,170.78341894665584,175.4369659423828,115402700.0,0.0,-0.10555992105160612,0.0,0.041739200713686975,0.01693900209545588,0.26889832201306946,0.015873086522779994,0.2519774368697211,0.029632514628997544,0.4704015865788655,84.48369273457172,4.829529422161215,4.560720492106311,1.0618557445672834,161.99034139071887,0.07664647230664089,161.37708587646483,175.21593070426596,147.5382410486637,0.1715094153874466,1.0079860436643098,166.27384994898716,158.72486095970373,7.54898898928343,6.777512976576067,0.771476012707363,2.03194417465724,1.7552253674883782,-1,0.4827897578190573,1,0.23247767784338336,0,0.0,0,0.0,0.18253968253968256,0,0,0,1,0,trending,0,1,1
2021-12-12 05:00:00+00:00,171.29179439045112,175.61294836881706,170.78341894665584,175.4369659423828,115402700.0,0.0,-0.10555992105160612,0.021110708101859554,0.04855671840578024,0.014443328412365229,0.22928073049891054,0.015873086522779994,0.2519774368697211,0.029632514628997544,0.4704015865788655,84.48369273457172,4.829529422161215,4.579921129967375,1.0628656019010296,162.95221574052215,0.07116373755552133,162.27797775268556,177.32507854753865,147.23087695783246,0.18544846322629352,0.9372599203362261,167.68356010181728,159.9627946621244,7.720765439692883,6.966163469199431,0.7546019704934519,1.749039681344905,1.6827397836550468,-1,0.4827897578190573,1,0.2273928299866694,0,0.0,0,0.0,0.19047619047619047,0,0,0,1,0,trending,0,1,1
2021-12-13 05:00:00+00:00,177.06961358561998,178.0570365302883,171.6046261840087,171.8099365234375,153237000.0,-0.02089096435412064,-1.4879256344742802,0.008088172359543844,0.02687858435540247,0.0173620574784603,0.27561411801849073,0.016870669320152198,0.26781357283397905,0.029820734980213037,0.4733894920248501,73.04767029638802,6.452410346279578,4.713670359703961,1.375103534113986,163.78323362866763,0.04671850218438853,162.97845306396485,178.44637501218784,147.51053111574186,0.18981554502977438,0.7854773734000914,168.318387243605,160.84036072592536,7.478026517679638,7.068536078895472,0.40949043878416536,1.141909493600365,1.4521873648984038,-1,0.10158900987960066,1,0.12339643065962863,0,0.0,0,0.0,0.16666666666666674,0,0,0,1,0,trending,0,1,1
2021-12-14 05:00:00+00:00,171.3308817563336,173.76520322122326,168.35887188331523,170.43145751953125,139380400.0,-0.008055638402586555,-0.6323162685912108,-0.02771890869517002,0.01863965128355538,0.017778448161822526,0.28222411519701485,0.01707845593359308,0.27111208306357637,0.029864090056590704,0.47407773252585517,69.21303751579765,5.4063313379080284,4.763146143861395,1.2127148673474022,164.35149410782844,0.035673950690740586,163.58410110473633,179.23129547766885,147.93690673180382,0.1913045860479344,0.7188046064871507,168.6434749783629,161.55081234026653,7.092662638096357,7.07336139073565,0.019301247360706597,0.8752184259486031,1.3380835976634413,-1,0.0,1,0.005816265304414404,0,0.0,0,0.0,0.16666666666666674,0,0,0,1,0,trending,0,1,1
2021-12-15 05:00:00+00:00,171.1940123824784,175.48583813344078,168.45662585148168,175.29031372070312,131063300.0,0.02811032774344092,1.751061636162663,0.04086838442149432,0.05625915666800352,0.01796786267466494,0.2852309773711397,0.017890562718359797,0.28400387860670234,0.02998478436612143,0.47599369529192886,74.32852284971612,7.029212281959104,4.925008010868374,1.1105880498701304,165.13647498804502,0.05792584037950099,164.4326919555664,180.70583082562212,148.1595530855107,0.197930699504124,0.8336056384646199,169.66606555410755,162.56855318326186,7.097512370845692,7.078191586757659,0.01932078408803317,1.33442255385848,1.5125204949546003,-1,0.14428409499053743,1,0.005822152529586322,0,0.0,0,0.0,0.16666666666666674,0,0,0,1,0,trending,0,1,1
