,alpha_annual,beta_mkt,r2,regime
2022-07-11,-0.1553754337162624,0.03492905801391483,0.0015414094377071974,crisis
2022-07-12,-0.18913826624945196,0.04293067947553133,0.0022710814584173677,crisis
2022-07-13,-0.19144317847627934,0.04302294023255058,0.0022768348131414484,crisis
2022-07-14,-0.22231271891553273,0.046319342457603545,0.0025955024467585464,crisis
2022-07-15,-0.21000888617064228,0.05427955683373324,0.0035366805933794154,crisis
2022-07-18,-0.18784186239168998,0.05620577351963149,0.003900748854438918,crisis
2022-07-19,-0.12894509836261048,0.04882784857179705,0.002821621567639987,crisis
2022-07-20,-0.2345063628784787,-0.0020300392606749026,4.533554964769593e-06,crisis
2022-07-21,-0.22218775964617354,-0.0020587177095824387,4.681896761615789e-06,crisis
2022-07-22,-0.2280901200043416,-0.0033044181758378277,1.2103290267906353e-05,crisis
2022-07-25,-0.09732099448537268,-0.025262156014514803,0.0005826286156250804,crisis
2022-07-26,-0.07043238810157737,-0.025953266037800148,0.0006182630643079001,crisis
2022-07-27,-0.05575978956766525,-0.028236798484091573,0.0007325915435689723,crisis
2022-07-28,-0.15179225989717005,-0.06550388317531987,0.003817626264196128,crisis
2022-07-29,-0.2624280822532612,-0.019989829482898864,0.0004230741538376881,crisis
2022-08-01,-0.2591077779023059,-0.019202491271727674,0.00039320575032320004,crisis
2022-08-02,-0.25423716279090447,-0.01957406818021916,0.00040858761946527267,crisis
2022-08-03,-0.2697103312091882,-0.019452732757027746,0.0004058957393863194,crisis
2022-08-04,-0.27248331875104026,-0.018976795883940103,0.0003886617924586666,crisis
2022-08-05,-0.286936364357134,-0.02006565318305011,0.00043625801374114204,crisis
2022-08-08,-0.2600140668593549,-0.02830665321326344,0.000873740504173437,crisis
2022-08-09,-0.26841468706876803,-0.02845700722114061,0.0008842985947764559,range_bound
2022-08-10,-0.23654944121455834,-0.0411357227170829,0.0018617017928287405,crisis
2022-08-11,-0.20758975960184434,-0.03190287086957211,0.0011238681687260055,trending_up
2022-08-12,-0.20019857910676808,-0.0343397291936831,0.0012985055683286673,crisis
2022-08-15,-0.16625011576134696,-0.035959212785218915,0.0014187838800324704,trending_up
2022-08-16,-0.1609322653065205,-0.03559242523076608,0.0013889374078666084,trending_up
2022-08-17,-0.1522737490821373,-0.03935876057811175,0.0016927545678245837,range_bound
