,alpha_annual,beta_mkt,r2,regime
2023-01-18,0.12064774248494059,-0.0005464233357701159,3.071183471980987e-07,crisis
2023-01-19,0.04701308258402159,0.012056887168585008,0.0001449095937245959,crisis
2023-01-20,0.027049545447604295,0.013179524653790882,0.00017103376345417587,crisis
2023-02-02,0.09941773521541597,0.033339551076662775,0.0010654729224063297,crisis
2023-02-03,0.03557912418781961,0.02008069996082848,0.0003792450434242367,crisis
2023-02-06,0.08304154797994712,0.012361715251948624,0.00014235334459888893,crisis
2023-02-07,0.14927299147444728,-0.005000027717886072,2.3111699427702526e-05,crisis
2023-02-08,0.1443815735819225,-0.029484461370791578,0.000781611877915922,crisis
2023-02-09,0.1463430384113218,-0.018313969040907922,0.00028770183498416646,crisis
2023-02-10,0.18095694575415378,-0.022728453329777323,0.0004422002544146597,trending_up
2023-02-13,0.1651524609856585,-0.02411107361888809,0.0004944080075239832,trending_up
2023-02-14,0.14205184924358427,-0.04233191871189446,0.0014525593865728492,trending_up
2023-02-15,0.14272343880710747,-0.04232705710499735,0.0014523173514596754,trending_up
2023-02-16,0.11446874477327085,-0.048898846823268484,0.0018979356019435123,trending_up
2023-02-17,0.17331582842991033,-0.061528965097258935,0.002977705274222253,trending_up
2023-02-21,0.1764895716022512,-0.06243945839431737,0.003058028924980083,trending_up
2023-02-22,0.24037247824575814,-0.09730082105969562,0.007041699837318172,trending_up
2023-02-23,0.24758694586509167,-0.09768484269282574,0.007093945702616344,trending_up
2023-02-24,0.2427267415311365,-0.10480610347316154,0.008024256322473278,trending_up
2023-02-27,0.2900009759561284,-0.11206614724488267,0.009134797063746647,trending_up
2023-02-28,0.2818253866342153,-0.11394276381697856,0.009407902659618439,trending_up
2023-03-01,0.2888986942945775,-0.1155266794194895,0.009634232806025378,trending_up
2023-03-06,0.3026724702044903,-0.11636197476050815,0.009771719559926617,trending_up
2023-03-07,0.299788876698301,-0.11648332382166707,0.00978912363839235,range_bound
2023-03-08,0.19870252151952705,-0.10460253095404291,0.0077520826294367184,trending_up
2023-03-09,0.20821888080953088,-0.1045848826530549,0.007749958278508218,range_bound
2023-03-10,0.16045458936916757,-0.08680227721604221,0.0052583583053897875,range_bound
2023-03-13,0.23039755178086452,-0.10067860757787603,0.007046333523258341,range_bound
2023-03-14,0.24205617657988454,-0.1020919103236963,0.00724694718162866,range_bound
2023-03-15,0.3642309038172551,-0.07122596583604522,0.0035279131666046126,range_bound
2023-03-16,0.374865740869585,-0.07327148158047446,0.003738339946023239,range_bound
2023-03-17,0.32871237031217304,-0.0988682801456846,0.006873165067260767,range_bound
2023-03-20,0.26923322931153115,-0.09411932014250303,0.006228318920126763,range_bound
2023-03-21,0.25984035785968196,-0.09575613882213038,0.006457420657896229,range_bound
2023-03-22,0.3314404314073036,-0.0948351281703996,0.006367038210569165,trending_down
2023-03-23,0.28690743141979214,-0.08409264830463857,0.005029983748390809,trending_down
2023-03-24,0.33841284763990176,-0.09238866433934496,0.006092695351728961,trending_down
2023-03-27,0.2570741418889817,-0.1258526414618369,0.011348138569953314,trending_down
2023-03-28,0.2277291412292186,-0.13180368460344177,0.012410466499202077,trending_down
2023-03-29,0.18313922785568404,-0.14017987310954672,0.013982638155161875,range_bound
2023-03-30,0.22157107193878134,-0.13136569841144896,0.01232208872824092,range_bound
2023-03-31,0.23230075624738378,-0.1303192290177398,0.012138404132857272,range_bound
2023-04-03,0.2656849651226765,-0.12091798421980207,0.01046740338431984,range_bound
2023-04-04,0.3568098409035658,-0.09584661388342075,0.0066572738729963055,range_bound
2023-04-05,0.336412951104089,-0.09390089476099765,0.006383942212161764,range_bound
2023-04-06,0.3887263628400164,-0.07737179231581837,0.004360674249482388,range_bound
2023-04-13,0.42196194155380784,-0.07536406325590082,0.004141750000057232,range_bound
2023-04-14,0.36440234038078545,-0.08789230232915737,0.005573210040437204,range_bound
2023-04-17,0.31687281417305857,-0.08457156022612233,0.005156774941359243,range_bound
2023-04-18,0.3489474802269912,-0.08298185749095811,0.004969102346065402,range_bound
2023-04-19,0.25432664662734705,-0.052299911435477554,0.0020270440789090793,range_bound
2023-04-20,0.24522487404473559,-0.05207405668555553,0.0020093207367207766,range_bound
2023-04-21,0.2323361852110617,-0.04894809226274921,0.0017724485903811704,range_bound
2023-04-24,0.2774092419630636,-0.03634209757066944,0.0009838957215086985,range_bound
2023-04-25,0.14611119119029548,0.03798719437360121,0.0011212949144487894,range_bound
2023-04-26,0.20089312387412983,0.020276327619005875,0.00031441581721380896,range_bound
2023-04-27,0.196881896093549,0.022862902354029203,0.0003983032710455081,range_bound
2023-04-28,0.10891499180807807,-0.0032741323773798027,7.999660048052526e-06,range_bound
2023-05-01,0.08544573003924505,-0.007809887040501667,4.5344683422432475e-05,range_bound
2023-05-02,0.06629474653269551,-0.003358745792622651,8.37152066801572e-06,range_bound
2023-05-03,-0.00610998716036848,-0.0017252373155439108,2.1816010769004635e-06,range_bound
2023-05-04,-0.007017833316838917,-0.008264176792512372,4.9935624413799395e-05,range_bound
2023-05-05,0.1165646016062154,-0.10231312143546994,0.007503684736593685,range_bound
2023-05-08,0.05448392315077211,-0.12544558822404128,0.011110361325403773,range_bound
2023-05-09,0.06717173759338224,-0.12898155998993197,0.011681050328203879,range_bound
2023-05-10,0.0758793097522168,-0.1296554595654893,0.011768861340294423,range_bound
2023-05-11,0.07195509091488606,-0.12929902223906956,0.011679127709937398,range_bound
2023-05-12,0.0623608737653667,-0.12612971974214973,0.011062153237580752,range_bound
2023-05-15,0.04359484695162341,-0.1181811555398277,0.00961076960620666,range_bound
2023-05-16,0.06514766900039648,-0.13043172042204068,0.011585568503217014,range_bound
2023-05-17,0.10181492485841082,-0.13743481701452162,0.012809340443634576,range_bound
2023-05-18,0.07011341811002825,-0.1472099574765998,0.014595458933549743,range_bound
2023-05-19,0.015816536039727547,-0.16502978851275013,0.018044596821354952,range_bound
2023-05-22,0.04095330593759838,-0.1810971650454532,0.02132205744927196,range_bound
2023-05-23,0.06811824143263956,-0.1903037019601867,0.023278703559478586,range_bound
2023-05-24,-0.022059631912893507,-0.20472886566470858,0.026213366047352138,range_bound
2023-05-25,-0.0847581655871068,-0.2295220303130498,0.03156006793549415,range_bound
2023-05-26,-0.10977509326047075,-0.2364378189339153,0.033252552542828884,range_bound
2023-06-13,-0.12801977348273663,-0.2540164121106187,0.03783144345307321,range_bound
2023-06-14,-0.09673741113368739,-0.2950070603918073,0.04902565334049669,range_bound
2023-06-15,-0.08993036460935333,-0.29759847968053815,0.04968122173427558,range_bound
2023-06-16,-0.11495975892200883,-0.3123884263253813,0.053948667316283005,range_bound
2023-06-20,-0.0986771515293331,-0.3146871157548435,0.05465160527164192,range_bound
2023-06-21,-0.11436017756293992,-0.3501453145686075,0.06567304498052895,range_bound
2023-06-22,-0.06355445756342126,-0.3751237456138746,0.07294490107869589,range_bound
2023-06-23,-0.10038291722412762,-0.40171496203095763,0.08084138230688287,range_bound
2023-06-26,-0.08838421946909836,-0.41297567868072593,0.08459290251799112,range_bound
2023-06-27,-0.0669664259352396,-0.4172036652696711,0.08592551381397684,range_bound
2023-06-28,-0.08514923999320823,-0.4307555727297663,0.0904141283452583,trending_up
2023-06-29,-0.11426119681639824,-0.4569807832395332,0.09864278599404586,trending_up
2023-06-30,-0.13977351673487914,-0.4647894983565673,0.10119057132706155,trending_up
2023-07-05,-0.1632682786447781,-0.4743607436385711,0.10364811651137529,trending_up
2023-07-06,-0.15094529225594633,-0.4721431578076894,0.10241796964665129,trending_up
2023-07-07,-0.12304648687250741,-0.4779677127810114,0.10456759636959256,trending_up
2023-07-10,-0.1442160955381132,-0.45828381590370326,0.09504921947970757,trending_up
2023-07-11,-0.10777886357363553,-0.3338456711407981,0.04450428085550595,trending_up
2023-07-12,-0.13397911273058427,-0.34231327361882746,0.046369267789671875,trending_up
2023-07-13,-0.15263102034763842,-0.34813905255410393,0.04721209137090543,trending_up
2023-07-24,-0.17533559516990738,-0.356067750665193,0.049209817908826836,trending_up
2023-07-28,-0.1370543664270284,-0.31802900437699844,0.036773812450433874,trending_up
2023-07-31,-0.17083936931147348,-0.3341781077790088,0.04026849639705099,trending_up
2023-08-01,-0.17830353366955842,-0.3344093854950466,0.040313622377041836,trending_up
2023-08-02,-0.0967349919505408,-0.4009759768056323,0.05822784320590069,trending_up
2023-08-03,-0.0801408628302207,-0.4115035649912578,0.06033825011172844,trending_up
2023-08-04,-0.07615905483248298,-0.4123468966383734,0.06057854883778857,range_bound
2023-08-07,-0.04618076355450573,-0.4091597898460059,0.059623017989772986,range_bound
2023-08-08,-0.08589777866228232,-0.412376665087336,0.06038065703540452,range_bound
2023-08-09,-0.04633479505310312,-0.3946136773398602,0.05514559745670533,range_bound
2023-08-10,-0.011391975378244212,-0.3949773899455709,0.05518971942008444,range_bound
2023-08-11,-0.02717550082928266,-0.39054617865444474,0.05390966830261856,range_bound
2023-08-14,-0.08520753424629701,-0.3204418213985187,0.03598736008179382,range_bound
2023-08-15,-0.12056469419077231,-0.3108407643949392,0.03359625523568255,range_bound
2023-08-16,-0.10198701769613439,-0.32498563844036976,0.03653610081725467,range_bound
2023-08-18,-0.08344132861527653,-0.33159742258541614,0.03810533580574804,range_bound
2023-08-21,-0.059013441517519194,-0.31171586250859007,0.033373642658631075,range_bound
2023-08-22,-0.07666863005305835,-0.27302699624069937,0.025590054560396203,range_bound
2023-08-23,-0.07185991139474457,-0.2672909497740349,0.024542449158178048,range_bound
2023-08-24,-0.018666927530345045,-0.2503842569622399,0.021555194909636866,range_bound
2023-08-25,-0.09766270335697025,-0.22641123016883874,0.017749597163311037,range_bound
2023-08-28,-0.032266313755057174,-0.24702262200186442,0.021160618951723276,range_bound
2023-08-29,-0.10136266097637026,-0.36000791475469335,0.045970831391374256,range_bound
2023-08-30,-0.058782148695899705,-0.3262968428766084,0.038038975499928296,range_bound
2023-08-31,-0.07629887246867206,-0.3343960835391762,0.04005694436038232,range_bound
2023-09-01,-0.12587794722347412,-0.3678213085963693,0.04865951324896378,trending_up
