,alpha_annual,beta_mkt,r2,regime
2022-07-06,0.14011996594977538,0.03352367109645483,0.005405838854457667,crisis
2022-07-07,0.14941693354102692,0.03382380159515114,0.005509564578817905,crisis
2022-07-08,0.15530828973147082,0.0392385539176284,0.007415561751741739,crisis
2022-07-11,0.11372565441237303,0.04381399124511978,0.009656060252643872,crisis
2022-07-12,0.09034341620358277,0.04871368772687903,0.011644969055164656,crisis
2022-07-13,0.10293620798415204,0.055468517504877544,0.015381354735474195,crisis
2022-07-15,0.09144216965569152,0.05645784987717842,0.01584488213435653,crisis
2022-07-18,0.05023069147481918,0.0403655823393988,0.007479442740302766,crisis
2022-07-19,0.014099689916808877,0.04421698476259495,0.008771243724392419,crisis
2022-07-20,0.11473247456890934,0.07978927475049312,0.023777277637927918,crisis
2022-07-21,0.12525711043126875,0.08141360083476663,0.024632956693947716,crisis
2022-07-22,0.1388824525576795,0.08598165827367718,0.027134414363106485,crisis
2022-07-25,0.11894136444393189,0.0901127505869903,0.029262906734433325,crisis
2022-07-26,0.13362347581234024,0.09065831944557345,0.0297023552747937,crisis
2022-07-27,-0.006392277069993235,0.13486181881647952,0.08746714904379782,crisis
2022-07-28,0.08348240971024978,0.1653286637675576,0.1156983511162002,crisis
2022-07-29,0.0730173284253739,0.1773497766723712,0.13188405689990967,crisis
2022-08-05,0.09345007423184182,0.18232211492937472,0.13695146210256393,crisis
2022-08-08,0.09995235273868652,0.18293061528538518,0.13752873462203963,crisis
2022-08-09,0.1004253949918481,0.18315192382908516,0.1374802373390558,crisis
2022-08-10,0.11091744412795568,0.1825257348554716,0.13600683406656022,crisis
2022-08-11,0.04281083604804947,0.16005042705757935,0.0923863785038409,crisis
2022-08-12,0.04168488465205056,0.16037447545298555,0.09249375985253028,crisis
2022-08-15,-0.014381515301541747,0.14645823663946952,0.07228492364846939,crisis
2022-08-16,-0.030988734756421055,0.14654322074152282,0.07179898601536405,crisis
2022-08-17,-0.029384019217400525,0.14873484289736424,0.07322355431642802,crisis
2022-08-18,0.0011224333154105093,0.14618208632213828,0.0696507095582024,crisis
2022-08-22,-0.005280771480153157,0.14614703894760175,0.06939697551391721,crisis
2022-08-23,0.0892814891806144,0.11501956747359329,0.036617123387869044,crisis
2022-08-24,0.09636468250284347,0.1147383800433279,0.03642371517591114,crisis
2022-08-25,0.08055215606243138,0.11453002310125596,0.03620431615866082,range_bound
2022-08-26,0.029449414469846946,0.10382035682351512,0.028613775218433224,crisis
2022-08-29,0.17164440487189903,0.04437832158959263,0.004354047157968499,crisis
2022-08-30,0.19152857705693704,0.043568496352833656,0.004198278492910212,range_bound
2022-08-31,0.18059827631981618,0.04637880226053706,0.004778398411158569,range_bound
2022-09-01,0.19610080892348236,0.045197567714151315,0.0045408625999030505,range_bound
2022-09-02,0.1422291787286014,0.05548718331077125,0.006925152013297797,range_bound
2022-09-09,0.15192924756492587,0.05400213141075839,0.006528770609310786,range_bound
2022-09-12,0.21034654190304014,0.051404951683590855,0.005900014000747911,range_bound
2022-09-13,0.2280821997491853,0.05385662686098227,0.0064645867528349,crisis
2022-09-14,0.13936439163533731,0.10906300137787252,0.024442652613144267,crisis
2022-09-15,0.14189397877028176,0.10894653431920262,0.02439673379978957,trending_down
2022-09-16,0.14134680685544843,0.1097713583310964,0.024835242345656705,trending_down
2022-09-19,0.11935883662904034,0.0995236645496669,0.020369288457786294,trending_down
2022-09-20,0.10438416035311726,0.09778348141882562,0.019473567943192105,trending_down
2022-09-21,0.12575837948503765,0.0950447705282616,0.018382087484030585,crisis
